,Date,price_bitcoin,open_bitcoin,high_bitcoin,low_bitcoin,vol_bitcoin,Change_bitcoin_%,price_dowjones,open_dowjones,high_dowjones,low_dowjones,vol_dowjones,change_dowjones,price_nasdaq,open_nasdaq,high_nasdaq,low_nasdaq,vol_nasdaq,change_nasdaq,price_sp,open_sp,high_sp,low_sp,change_sp,trend_bitcoins
37,2021-03-08,52311.0,50988.9,52384.9,49338.1,68.14,2.61,31802.44,31512.15,32148.04,31512.15,499.58,0.97,12609.16,12904.26,13001.0,12599.23,1.27,2.41,3821.35,3844.39,3881.06,3819.25,0.54,35.0
38,2021-03-07,50982.3,48899.0,51434.1,48890.6,82.91,4.35,31496.3,31029.18,31580.33,30766.81,505.35,1.85,12920.15,12860.04,12941.21,12397.05,1.56,1.55,3841.94,3793.58,3851.69,3730.19,1.95,44.0
39,2021-03-06,48855.6,48798.7,49191.8,47132.8,66.66,0.13,31496.3,31029.18,31580.33,30766.81,505.35,1.85,12920.15,12860.04,12941.21,12397.05,1.56,1.55,3841.94,3793.58,3851.69,3730.19,1.95,27.0
40,2021-03-05,48792.5,48363.6,49429.4,46370.1,113.64,0.75,31496.3,31029.18,31580.33,30766.81,505.35,1.85,12920.15,12860.04,12941.21,12397.05,1.56,1.55,3841.94,3793.58,3851.69,3730.19,1.95,34.0
41,2021-03-04,48428.0,50388.0,51757.7,47521.8,9.56,3.9,30924.14,31289.01,31461.97,30547.53,551.23,1.11,12723.47,12953.99,13068.71,12553.96,1.58,2.11,3768.47,3818.53,3843.67,3723.34,1.34,44.0
42,2021-03-03,50395.1,48422.2,52567.9,48159.2,44.93,4.07,31270.09,31352.96,31563.31,31260.14,411.61,0.39,12997.75,13336.25,13372.52,12995.07,1.16,2.7,3819.72,3863.99,3874.47,3818.86,1.31,55.0
43,2021-03-02,48424.2,49595.6,50191.9,47100.6,102.1,2.36,31391.52,31535.37,31623.27,31377.16,341.28,0.46,13358.79,13599.45,13601.33,13352.0,1.08,1.69,3870.29,3903.64,3906.41,3868.57,0.81,60.0
44,2021-03-01,49595.5,45160.5,49774.0,45008.8,137.52,9.81,31535.51,31065.9,31668.34,31065.9,387.58,1.95,13588.83,13406.16,13596.59,13362.66,1.1,3.01,3901.82,3842.51,3914.5,3842.51,2.38,46.0
45,2021-02-28,45164.0,46136.0,46582.0,43100.6,135.08,2.11,30932.37,31401.29,31450.89,30911.37,538.91,1.5,13192.34,13232.9,13368.06,13024.53,1.44,0.56,3811.15,3839.66,3861.08,3789.54,0.48,58.0
46,2021-02-27,46136.7,46333.1,48335.1,45059.4,98.75,0.45,30932.37,31401.29,31450.89,30911.37,538.91,1.5,13192.34,13232.9,13368.06,13024.53,1.44,0.56,3811.15,3839.66,3861.08,3789.54,0.48,43.0
47,2021-02-26,46345.6,46928.5,48413.9,44248.2,189.41,1.24,30932.37,31401.29,31450.89,30911.37,538.91,1.5,13192.34,13232.9,13368.06,13024.53,1.44,0.56,3811.15,3839.66,3861.08,3789.54,0.48,61.0
48,2021-02-25,46928.5,49695.9,52013.8,46773.7,83.22,5.57,31402.01,31955.94,31984.77,31293.32,458.96,1.75,13119.43,13512.64,13602.86,13066.38,1.33,3.52,3829.34,3915.8,3925.02,3814.04,2.45,71.0
49,2021-02-24,49697.5,48911.1,51311.8,47031.7,153.75,1.61,31961.86,31499.75,32009.64,31421.29,413.35,1.35,13597.97,13400.25,13607.36,13286.59,1.24,0.99,3925.43,3873.71,3928.65,3859.6,1.14,71.0
50,2021-02-23,48911.2,54114.1,54115.0,45093.8,315.07,9.61,31537.35,31501.89,31653.38,31158.76,461.92,0.05,13465.2,13262.61,13526.09,13003.98,1.64,0.5,3881.37,3857.07,3895.98,3805.59,0.13,69.0
51,2021-02-22,54111.8,57437.6,57480.8,48353.8,244.95,5.78,31521.69,31381.12,31653.48,31286.57,389.68,0.09,13533.05,13714.2,13757.06,13530.96,1.37,2.46,3876.5,3885.55,3902.92,3874.71,0.77,83.0
52,2021-02-21,57433.8,55907.6,58335.1,55502.7,87.26,2.7,31494.32,31504.13,31647.53,31469.34,353.07,0.0,13874.46,13929.2,13985.58,13842.6,1.31,0.07,3906.71,3921.16,3930.41,3903.07,0.19,90.0
53,2021-02-20,55923.7,55922.0,57523.8,54124.1,127.85,0.03,31494.32,31504.13,31647.53,31469.34,353.07,0.0,13874.46,13929.2,13985.58,13842.6,1.31,0.07,3906.71,3921.16,3930.41,3903.07,0.19,81.0
